,Measure	ent_type	partial	strict	exact
661,incorrect	0	0	3	3
662,partial	0	3	0	0
663,missed	162	162	162	162
664,spurious	115	115	115	115
665,possible	165	165	165	165
666,actual	118	118	118	118
667,precision	0.025	0.013	0.0	0.0
668,recall	0.018	0.009	0.0	0.0
669,f1	0.021	0.011	0	0
670,correct	0	0	0	0
671,incorrect	0	0	0	0
672,partial	0	0	0	0
673,missed	45	45	45	45
674,spurious	33	33	33	33
675,possible	45	45	45	45
676,actual	33	33	33	33
677,precision	0.0	0.0	0.0	0.0
678,recall	0.0	0.0	0.0	0.0
679,f1	0	0	0	0
680,correct	3	7	2	7
681,incorrect	7	0	8	3
682,partial	0	3	0	0
683,missed	176	176	176	176
684,spurious	216	216	216	216
685,possible	186	186	186	186
686,actual	226	226	226	226
687,precision	0.013	0.038	0.009	0.031
688,recall	0.016	0.046	0.011	0.038
689,f1	0.015	0.041	0.01	0.034
690,correct	3	4	1	4
691,incorrect	4	0	6	3
692,partial	0	3	0	0
693,missed	183	183	183	183
694,spurious	208	208	208	208
695,possible	190	190	190	190
696,actual	215	215	215	215
697,precision	0.014	0.026	0.005	0.019
698,recall	0.016	0.029	0.005	0.021
699,f1	0.015	0.027	0.005	0.02
700,correct	3	1	1	1
701,incorrect	0	0	2	2
702,partial	0	2	0	0
703,missed	166	166	166	166
704,spurious	80	80	80	80
705,possible	169	169	169	169
706,actual	83	83	83	83
707,precision	0.036	0.024	0.012	0.012
708,recall	0.018	0.012	0.006	0.006
709,f1	0.024	0.016	0.008	0.008
710,correct	1	1	0	1
711,incorrect	2	0	3	2
712,partial	0	2	0	0
713,missed	179	179	179	179
714,spurious	131	131	131	131
715,possible	182	182	182	182
716,actual	134	134	134	134
717,precision	0.007	0.015	0.0	0.007
718,recall	0.005	0.011	0.0	0.005
719,f1	0.006	0.013	0	0.006
720,correct	1	0	0	0
721,incorrect	0	0	1	1
722,partial	0	1	0	0
723,missed	59	59	59	59
724,spurious	60	60	60	60
725,possible	60	60	60	60
726,actual	61	61	61	61
727,precision	0.016	0.008	0.0	0.0
728,recall	0.017	0.008	0.0	0.0
729,f1	0.017	0.008	0	0
730,correct	5	4	4	4
731,incorrect	1	0	2	2
732,partial	0	2	0	0
733,missed	166	166	166	166
734,spurious	90	90	90	90
735,possible	172	172	172	172
736,actual	96	96	96	96
737,precision	0.052	0.052	0.042	0.042
738,recall	0.029	0.029	0.023	0.023
739,f1	0.037	0.037	0.03	0.03
740,correct	2	1	1	1
741,incorrect	1	0	2	2
742,partial	0	2	0	0
743,missed	151	151	151	151
